id,title,start,attestation_year,fclasses,end,title_uri,ccodes,variants,types,aat_types,matches,lat,lon,geowkt,geo_source,geo_id,description,title_source
rue-a,Zduńska Wola,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Wola,Gemeinde,300000809,,51.59915,18.93974,,geonames,gn:3080414,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Wygiełzów,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Wygielzow,Gemeinde,300000809,,51.45221,19.10747,,geonames,gn:3081248,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Woźniki,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Wozniki,Gemeinde,300000809,,52.59266,19.90606,,geonames,gn:3081395,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Topola Szlachecka,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Topola,Gemeinde,300000809,,52.08976,19.21245,,geonames,gn:3083291,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Szczawin Kościelny,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Szczawin,Gemeinde,300000809,,52.37104,19.61377,,geonames,gn:3083841,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Sobótka,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Sobotka,Gemeinde,300000809,,50.89992,16.74441,,geonames,gn:3085252,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Sieradz,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Sieradz,Gemeinde,300000809,,51.59584,18.73023,,geonames,gn:3085978,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Gmina Poddębice,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Poddebice,Gemeinde,300000809,,51.89344,18.9573,,geonames,gn:3088710,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Piaski Piastowskie,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Piaski,Gemeinde,300000809,,52.83245,19.64441,,geonames,gn:3089197,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Monice,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Monice,Gemeinde,300000809,,51.56675,18.75147,,geonames,gn:3091467,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Leśmierz,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Lesmierz,Gemeinde,300000809,,52.02436,19.28222,,geonames,gn:3093593,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Kruszów,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Kruszew,Gemeinde,300000809,,51.58144,19.58492,,geonames,gn:3094587,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Koźminek,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Koschmin,Gemeinde,300000809,,52.21544,15.74023,,geonames,gn:3094848,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Kolonia Orzeszków,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Orzeszkow,Gemeinde,300000809,,52.00415,18.79728,,geonames,gn:3095580,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Gostkow,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Gostkow,Gemeinde,300000809,,50.84407,16.10079,,geonames,gn:3098641,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
rue-a,Dobra,,1940,P,,https://doi.org/10.5281/zenodo.10665221,PL,Dobra,Gemeinde,300000809,,53.58625,15.30977,,geonames,gn:3100363,A settlement where German-speaking resettlers whose origins lay outside the borders of the German Reich were settled and given a farm during the 1939/1940 'Heim ins Reich' propaganda campaign.,
