resettlement_registration_area_code,resettlement_registration_area_admin_center,destination_districts_reichsgau_wartheland
Wo I/1,Rozyszcze,Gostynin;Kalisch;Kutno;Lask;Lentschütz;Leslau;Litzmannstadt;Nessau;Sieradsch
Wo I/2,Luck,Kolo;Konin;Lask;Leslau;Nessau;Sieradsch
Wo I/4,Marianowka,Lask;Leslau;Litzmannstadt;Sieradsch;Wielun
Wo I/5,Stanislawowka,Kolo;Kutno;Lask;Leslau;Lentschütz;Litzmannstadt;Nessau;Wielun
Wo I/6,Bryszcze,Gostynin;Kalisch;Konin;Lask;Lentschütz;Leslau;Wielun
Wo I/7,Helenow,Altburgund;Dietfurt;Gostynin;Kalisch;Kolo;Konin;Lask;Leslau;Litzmannstadt;Nessau;Sieradsch;Turek;Wielun
Wo I/8,Gniedau,Dietfurt;Gostynin;Kalisch;Nessau;Wielun
Wo I/9,Podhaice,Kolo;Lask;Leslau;Nessau;Sieradsch;Wielun
Wo I/10,Boszkiewicze,Kutno;Lask;Lentschütz;Leslau;Litzmannstadt;Nessau;Sieradsch;Wielun
Wo I/11,Zielona,Kutno;Nessau;Sieradsch
Wo I/12,Bludow,Kutno;Lentschütz
Wo I/13,Torczyn,Kolo;Kutno;Lask;Nessau;Sieradsch;Wielun
Wo I/14,Wolka,Kutno;Lentschütz;Litzmannstadt;Turek
Wo I/15,Alexandrowka,Turek
Wo I/16,Krzemienice,Gostynin;Kutno;Lask;Lentschütz;Leslau;Litzmannstadt;Sieradsch;Turek
Wo I/17,Kamien-Koszyrsk,Lask;Turek
Wo II/1,Zademle,Gnesen;Gostynin;Kutno;Lentschütz;Leslau;Nessau;Sieradsch;Turek
Wo II/2,Derazne,Kalisch;Lask;Lentschütz;Leslau;Litzmannstadt;Sieradsch;Turek
Wo II/3,Kostopol,Kutno;Lask;Lentschütz;Litzmannstadt;Turek
Wo II/4,Tuczyn,Lask;Lentschütz;Litzmannstadt;Nessau;Turek;Wielun
Wo II/5,Maczulki,Gostynien;Kalisch;Kutno;Kolo;Lask;Leslau;Sieradsch;Turek
Wo II/6,Topcza,Gostynien;Kolo;Kutno;Lask;Lentschütz;Nessau;Sieradsch;Turek;Wielun
Wo III/1,Swiezowska,Gostynien;Kolo;Kutno;Lask;Lentschütz;Litzmannstadt;Nessau;Sieradsch;Turek
Wo III/2,Wandawola,Gostynien;Lask;Lentschütz;Litzmannstadt;Sieradsch;Turek
Wo III/3,Janow,Gostynien;Konien;Lentschütz;Leslau;Nessau;Sieradsch;Turek
